HGNC_symbol;HGNC_id
HIVEP2;HGNC:4921
HK1;HGNC:4922
HLCS;HGNC:4976
HMGB3;HGNC:5004
HMGCL;HGNC:5005
HMGCS2;HGNC:5008
HMX1;HGNC:5017
HNF1B;HGNC:11630
HNF4A;HGNC:5024
HNRNPD;HGNC:5036
HNRNPH1;HGNC:5041
HNRNPH2;HGNC:5042
HNRNPK;HGNC:5044
HNRNPR;HGNC:5047
HNRNPU;HGNC:5048
HOXA1;HGNC:5099
HOXA11;HGNC:5101
HOXA13;HGNC:5102
HOXB1;HGNC:5111
HOXC13;HGNC:5125
HOXD13;HGNC:5136
HPD;HGNC:5147
HPDL;HGNC:28242
HPGD;HGNC:5154
HPRT1;HGNC:5157
HPS1;HGNC:5163
HPSE2;HGNC:18374
HR;HGNC:5172
HRAS;HGNC:5173
HS2ST1;HGNC:5193
HSD17B10;HGNC:4800
HSD17B4;HGNC:5213
HSD3B7;HGNC:18324
HSF4;HGNC:5227
HSPD1;HGNC:5261
HSPG2;HGNC:5273
HTRA2;HGNC:14348
HUWE1;HGNC:30892
HYAL1;HGNC:5320
HYDIN;HGNC:19368
HYLS1;HGNC:26558
IARS1;HGNC:5330
IARS2;HGNC:29685
IDS;HGNC:5389
IDUA;HGNC:5391
IFIH1;HGNC:18873
IFITM5;HGNC:16644
IFT122;HGNC:13556
IFT140;HGNC:29077
IFT172;HGNC:30391
IFT43;HGNC:29669
IFT80;HGNC:29262
IGBP1;HGNC:5461
IGF1;HGNC:5464
IGF1R;HGNC:5465
IGF2;HGNC:5466
IGFBP7;HGNC:5476
IGHMBP2;HGNC:5542
IGSF1;HGNC:5948
IHH;HGNC:5956
IKBKG;HGNC:5961
IL11;HGNC:5966
IL11RA;HGNC:5967
IL1RAPL1;HGNC:5996
INPP4A;HGNC:6074
INPP5E;HGNC:21474
INPP5K;HGNC:33882
INPPL1;HGNC:6080
IQSEC1;HGNC:29112
IQSEC2;HGNC:29059
IRF2BPL;HGNC:14282
IRF6;HGNC:6121
IRX5;HGNC:14361
ITCH;HGNC:13890
ITGA3;HGNC:6139
ITGA6;HGNC:6142
ITGA7;HGNC:6143
ITGA8;HGNC:6144
ITPR1;HGNC:6180
IVD;HGNC:6186
JAG1;HGNC:6188
JAGN1;HGNC:26926
JAK3;HGNC:6193
JAM3;HGNC:15532
JARID2;HGNC:6196
KANK1;HGNC:19309
KANSL1;HGNC:24565
KARS1;HGNC:6215
KAT5;HGNC:5275
KAT6A;HGNC:13013
KAT6B;HGNC:17582
KATNB1;HGNC:6217
KBTBD13;HGNC:37227
KCNA2;HGNC:6220
KCNA4;HGNC:6222
KCNB1;HGNC:6231
KCNC1;HGNC:6233
KCNC3;HGNC:6235
KCND3;HGNC:6239
KCNE1;HGNC:6240
KCNH1;HGNC:6250
KCNH5;HGNC:6254
KCNJ10;HGNC:6256
KCNJ11;HGNC:6257
KCNJ6;HGNC:6267
KCNJ8;HGNC:6269
KCNK3;HGNC:6278
KCNK4;HGNC:6279
KCNK9;HGNC:6283
KCNMA1;HGNC:6284
KCNN3;HGNC:6292
KCNQ1;HGNC:6294
KCNQ2;HGNC:6296
KCNQ3;HGNC:6297
KCNQ5;HGNC:6299
KCNT1;HGNC:18865
KCNT2;HGNC:18866
KCTD1;HGNC:18249
KCTD7;HGNC:21957
KDELR2;HGNC:6305
KDM1A;HGNC:29079
KDM3B;HGNC:1337
KDM4B;HGNC:29136
KDM5A;HGNC:9886
KDM5B;HGNC:18039
KDM5C;HGNC:11114
KDM6A;HGNC:12637
KDM6B;HGNC:29012
KIAA0586;HGNC:19960
KIAA1109;HGNC:26953
KIDINS220;HGNC:29508
KIF11;HGNC:6388
KIF14;HGNC:19181
KIF1A;HGNC:888
KIF22;HGNC:6391
KIF2A;HGNC:6318
KIF3B;HGNC:6320
KIF4A;HGNC:13339
KIF5C;HGNC:6325
KIF7;HGNC:30497
KIFBP;HGNC:23419
KIRREL3;HGNC:23204
KIT;HGNC:6342
KITLG;HGNC:6343
KLF1;HGNC:6345
KLF7;HGNC:6350
KLF8;HGNC:6351
KLHL15;HGNC:29347
KLHL40;HGNC:30372
KLHL7;HGNC:15646
KMT2A;HGNC:7132
KMT2B;HGNC:15840
KMT2C;HGNC:13726
KMT2D;HGNC:7133
KMT2E;HGNC:18541
KMT5B;HGNC:24283
KPNA7;HGNC:21839
KPTN;HGNC:6404
KRAS;HGNC:6407
KRIT1;HGNC:1573
KRT74;HGNC:28929
L1CAM;HGNC:6470
L2HGDH;HGNC:20499
LAGE3;HGNC:26058
LAMA1;HGNC:6481
LAMA2;HGNC:6482
LAMB1;HGNC:6486
LAMC3;HGNC:6494
LAMP2;HGNC:6501
LARGE1;HGNC:6511
LARP7;HGNC:24912
LARS2;HGNC:17095
LAS1L;HGNC:25726
LBR;HGNC:6518
LDB3;HGNC:15710
LEFTY2;HGNC:3122
LEMD2;HGNC:21244
LEMD3;HGNC:28887
